Gene,SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y,
SPATS2L,3.43,3.70,2.97,6.64,6.59,
ANXA4,2.21,4.39,2.59,6.39,6.31,
POU2F3,0.40,0.19,-0.07,6.26,0.70,
LRMP,0.44,0.28,1.14,6.08,0.55,
PLCG2,0.20,1.93,0.44,5.72,1.53,
PLA2G4A,-0.22,0.10,0.68,4.98,1.05,
LGALS3,1.23,1.87,1.13,4.96,4.72,
RGS13,-0.11,0.07,0.08,4.89,-0.03,
BMX,10.31,0.20,0.47,4.81,-0.15,
AZGP1,0.55,2.99,-0.13,4.78,1.28,
EHF,1.54,3.04,-0.78,4.75,1.61,
CRYM,1.33,3.46,0.14,4.68,1.84,
GAL,0.68,11.01,2.72,4.37,2.20,
SOX9,3.33,2.44,1.92,3.92,3.37,
GFI1B,-0.04,0.02,0.01,3.52,0.14,
TRIM58,0.14,0.40,-0.07,3.30,1.73,
VSNL1,0.47,0.42,1.19,2.88,0 97,
LGALS1,1.76,4.37,2.35,2.19,11.42,
VIM,1.83,1.45,3.71,3.84,11.02,
GSTP1,6.06,6.71,4.65,9.23,10.31,
ANXA1,1.18,2.27,0.80,7.01,9.55,
IFITM3,1.15,2.80,0.64,5.09,9.07,
CNN2,1.15,2.48,2.18,3.58,8.33,
FSTL1,3.19,0.25,3.02,1.47,8.22,
TPM2,1.81,2.10,2.45,4.19,7.97,
YAP1,0.69,0.18,0.31,2.80,6.62,
CRIM1,0.15,1.82,1.54,3.34,6.57,
MRC2,0.84,0.58,2.02,0.30,6.43,
CAV1,0.20,0.69,0.70,2.19,6.42,
GPX8,0 58,0.12,1.46,2.16,6.31,
MAGEA4,0.70,1.83,1.99,2.12,6.18,
MICA,0.19,0.74,0.24,1.70,6.17,
AHNAK,0.52,1.55,0.87,3.31,6.05,
TNFRSF10B,0.60,1.10,1.09,3.77,6.02,
OSMR,0.07,0.88,0.23,1.86,5.80,
EMP1,0.58,0.50,0.65,1.47,5.76,
HOXC10,1.43,2.18,2.77,4.56,5.39,
MSRB3,0.04,0.03,0.72,0.95,5.21,
AXL,-0.06,0.12,0.18,0.70,5.05,
MYL9,-0.29,0.37,0.36,1.68,4.50,
SLPI,0.83,3.00,-0.59,0.78,3.07,
